pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
L 98-59 c,L 98-59,Transiting Exoplanet Survey Satellite (TESS),3.6906764,1.329,3415.0,0.3155,-1.91364,0.2923
Kepler-1866 b,Kepler-1866,Kepler,11.66009998,2.08215108,5791.0,1.083,0.14386,1.03
TOI-4582 b,TOI-4582,Transiting Exoplanet Survey Satellite (TESS),31.034,10.53644186,5190.0,2.5,0.612,1.34
TOI-2274 b,TOI-2274,Transiting Exoplanet Survey Satellite (TESS),2.67963,2.45,3943.0,0.631,-1.06233,0.612
TOI-1751 b,TOI-1751,Transiting Exoplanet Survey Satellite (TESS),37.46852,2.9507845,5970.0,1.3137,0.29732,0.9382
TOI-4145 A b,TOI-4145 A,Transiting Exoplanet Survey Satellite (TESS),4.0664428,13.30506009,5281.0,0.859,-0.28735,0.905
TOI-1180 b,TOI-1180,Transiting Exoplanet Survey Satellite (TESS),9.686760378,3.072,4738.0,0.73,-0.57675,0.75
HD 25463 b,HD 25463,Transiting Exoplanet Survey Satellite (TESS),7.0491423,2.54535814,6353.0,1.4182,0.47276,1.251
Kepler-1990 b,Kepler-1990,Kepler,1.73513619,3.27,5751.0,1.071,0.11702,1.028
Kepler-633 c,Kepler-633,Kepler,23.78319931,2.296,5877.0,1.265,0.236,0.997
Kepler-397 c,Kepler-397,Kepler,135.498527,6.18,5307.0,0.767,-0.376,0.844
Kepler-781 b,Kepler-781,Kepler,13.2140732,2.89,5162.0,0.78,-0.38375,0.81
Kepler-1021 b,Kepler-1021,Kepler,13.47469571,2.33,5431.0,0.86,-0.28836,0.89
TOI-5592 b,TOI-5592,Transiting Exoplanet Survey Satellite (TESS),2.6085846,17.14974047,6237.0,1.393,0.4216,1.194
Kepler-1952 b,Kepler-1952,Kepler,27.21080017,1.23923346,5973.0,1.305,0.291,0.922
Kepler-216 c,Kepler-216,Kepler,17.406669,3.04,6091.0,1.26,0.51836,1.126
Kepler-1431 b,Kepler-1431,Kepler,5.86601526,1.47,5806.0,1.03,0.24349,1.03
TOI-1775 b,TOI-1775,Transiting Exoplanet Survey Satellite (TESS),10.2405549,8.04728896,5284.0,0.8288,-0.31605,0.9218
TOI-2796 b,TOI-2796,Transiting Exoplanet Survey Satellite (TESS),4.8084983,17.26183028,5764.0,1.069,0.05538,1.063
HD 28109 b,HD 28109,Transiting Exoplanet Survey Satellite (TESS),22.891054,2.69,6189.0,1.425,0.43297,1.227
Kepler-347 b,Kepler-347,Kepler,12.79836,1.97,6088.0,1.005,0.34232,0.922
